project_id,anomaly_case_type,planted,description
P01455,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00727,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02897,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01763,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01033,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02047,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00372,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00756,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01068,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01645,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00822,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00929,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01439,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02652,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02593,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00335,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01392,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01851,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00386,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02146,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01056,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00084,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02483,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00250,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02282,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00243,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02797,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01529,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00392,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00691,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00008,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02168,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00052,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00020,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01339,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01576,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01255,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00114,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02327,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02308,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01536,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00285,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00707,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00773,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02608,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02544,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02041,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
