budget_record_id,mp_id,mp_name,financial_year,opening_balance_demo,annual_allocation_demo,sanctioned_amount_demo,expenditure_demo,closing_balance_demo,data_type
BR000001,MP001,Amit Sharma,2022-23,10947530,50000000,46313000,20338000,40609530,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000002,MP001,Amit Sharma,2023-24,40609530,50000000,38853000,23191000,67418530,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000003,MP001,Amit Sharma,2024-25,67418530,50000000,29936000,12347000,105071530,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000004,MP001,Amit Sharma,2025-26,105071530,50000000,29555000,21785000,133286530,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000005,MP001,Amit Sharma,2026-27,133286530,50000000,26342000,17422000,165864530,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000006,MP002,Rahul Singh,2022-23,11022314,50000000,48785000,36185000,24837314,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000007,MP002,Rahul Singh,2023-24,24837314,50000000,43047000,38070000,36767314,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000008,MP002,Rahul Singh,2024-25,36767314,50000000,35210000,22028000,64739314,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000009,MP002,Rahul Singh,2025-26,64739314,50000000,33381000,14633000,100106314,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000010,MP002,Rahul Singh,2026-27,100106314,50000000,33639000,14230000,135876314,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000011,MP003,Priya Joshi,2022-23,14021694,50000000,43618000,18411000,45610694,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000012,MP003,Priya Joshi,2023-24,45610694,50000000,30545000,18166000,77444694,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000013,MP003,Priya Joshi,2024-25,77444694,50000000,31451000,16933000,110511694,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000014,MP003,Priya Joshi,2025-26,110511694,50000000,28817000,21394000,139117694,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000015,MP003,Priya Joshi,2026-27,139117694,50000000,37987000,22455000,166662694,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000016,MP004,Anita Mehta,2022-23,13586760,50000000,25635000,14057000,49529760,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000017,MP004,Anita Mehta,2023-24,49529760,50000000,46134000,39937000,59592760,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000018,MP004,Anita Mehta,2024-25,59592760,50000000,43654000,26375000,83217760,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000019,MP004,Anita Mehta,2025-26,83217760,50000000,41318000,16235000,116982760,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000020,MP004,Anita Mehta,2026-27,116982760,50000000,27464000,10013000,156969760,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000021,MP005,Ravi Nair,2022-23,1329442,50000000,42776000,18084000,33245442,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000022,MP005,Ravi Nair,2023-24,33245442,50000000,48045000,36586000,46659442,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000023,MP005,Ravi Nair,2024-25,46659442,50000000,44014000,26116000,70543442,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000024,MP005,Ravi Nair,2025-26,70543442,50000000,29910000,10605000,109938442,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000025,MP005,Ravi Nair,2026-27,109938442,50000000,28525000,18397000,141541442,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000026,MP006,Neha Sharma,2022-23,5867011,50000000,44876000,27068000,28799011,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000027,MP006,Neha Sharma,2023-24,28799011,50000000,33956000,22031000,56768011,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000028,MP006,Neha Sharma,2024-25,56768011,50000000,39596000,24590000,82178011,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000029,MP006,Neha Sharma,2025-26,82178011,50000000,42942000,34370000,97808011,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000030,MP006,Neha Sharma,2026-27,97808011,50000000,45265000,19959000,127849011,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000031,MP007,Vikram Singh,2022-23,14116891,50000000,26733000,10039000,54077891,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000032,MP007,Vikram Singh,2023-24,54077891,50000000,46903000,32022000,72055891,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000033,MP007,Vikram Singh,2024-25,72055891,50000000,27710000,19233000,102822891,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000034,MP007,Vikram Singh,2025-26,102822891,50000000,30640000,20802000,132020891,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000035,MP007,Vikram Singh,2026-27,132020891,50000000,30660000,17229000,164791891,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000036,MP008,Suresh Joshi,2022-23,3866849,50000000,27338000,13325000,40541849,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000037,MP008,Suresh Joshi,2023-24,40541849,50000000,49192000,31712000,58829849,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
