sector,sub_sector,project_count,sanctioned_amount,expenditure,avg_risk_score,high_risk_projects,delayed_projects,utilization_pct,data_type
Community Assets,Community Halls,95,100048000,36356000,23.485263157894735,1,63,48.7,SYNTHETIC_DEMO
Community Assets,Market Sheds,110,112312000,42727000,26.73363636363636,0,79,48.9,SYNTHETIC_DEMO
Community Assets,Parks,113,128630000,53341000,27.44070796460177,1,80,51.2,SYNTHETIC_DEMO
Community Assets,Public Shelters,111,118470000,47635000,25.88108108108108,0,72,51.6,SYNTHETIC_DEMO
Education,Classrooms,124,146619000,62037000,30.023387096774194,0,91,54.7,SYNTHETIC_DEMO
Education,Laboratories,129,140017000,52716000,25.451162790697673,0,99,50.0,SYNTHETIC_DEMO
Education,Libraries,115,122903000,45200000,30.26695652173913,0,83,48.0,SYNTHETIC_DEMO
Education,School Buildings,124,129727000,51366000,28.325000000000003,0,90,53.5,SYNTHETIC_DEMO
Electricity,Power Infrastructure,106,120267000,46293000,27.453773584905658,1,74,49.7,SYNTHETIC_DEMO
Electricity,Solar Lighting,105,115924000,46828000,30.252380952380953,1,73,52.4,SYNTHETIC_DEMO
Electricity,Solar Pumps,98,110256000,43479000,27.91530612244898,0,78,51.0,SYNTHETIC_DEMO
Electricity,Street Lighting,113,125125000,48292000,29.170796460176994,1,84,49.6,SYNTHETIC_DEMO
Health,Community Clinics,112,130340000,51733000,30.416071428571428,1,86,52.3,SYNTHETIC_DEMO
Health,Health Centres,98,98022000,38088000,26.21530612244898,0,72,51.1,SYNTHETIC_DEMO
Health,Health Infrastructure,121,136018000,53624000,31.699173553719007,0,95,50.4,SYNTHETIC_DEMO
Health,Medical Equipment,95,110249000,47140000,30.693684210526317,0,67,52.8,SYNTHETIC_DEMO
Roads,Bridges,98,112910000,41290000,27.583673469387755,0,72,48.2,SYNTHETIC_DEMO
Roads,Drainage Roads,97,116855000,45262000,31.769072164948454,1,74,51.7,SYNTHETIC_DEMO
Roads,Internal Roads,122,158083000,57928000,26.45655737704918,0,90,50.6,SYNTHETIC_DEMO
Roads,Village Roads,94,105918000,42933000,27.03723404255319,0,68,51.1,SYNTHETIC_DEMO
Sanitation,Drainage,88,95853000,40817000,29.572727272727274,1,55,55.9,SYNTHETIC_DEMO
Sanitation,Public Toilets,104,124472000,46208000,30.71923076923077,0,76,49.2,SYNTHETIC_DEMO
Sanitation,Solid Waste Facilities,111,130796000,50532000,28.42162162162162,0,87,48.8,SYNTHETIC_DEMO
Sanitation,Waste Management,102,113512000,43970000,26.384313725490195,1,76,49.9,SYNTHETIC_DEMO
Water Supply,Borewells,97,100207000,38405000,28.578350515463917,0,73,50.6,SYNTHETIC_DEMO
Water Supply,Community Water Points,121,130714000,51179000,28.56198347107438,2,93,50.6,SYNTHETIC_DEMO
Water Supply,Pipelines,93,124007000,44951000,29.988172043010753,0,70,47.0,SYNTHETIC_DEMO
Water Supply,Water Tanks,104,123611000,46547000,31.860576923076923,0,79,47.8,SYNTHETIC_DEMO
