duplicate_match_id,project_id,matched_project_id,text_similarity,location_match,sector_match,time_overlap,amount_similarity,duplicate_risk_score,match_status,data_type
DM0001,P01534,P00196,0.969,1,1,1,0.973,96.9,CANDIDATE,SYNTHETIC_DEMO
DM0002,P02093,P01104,0.936,1,1,0,0.773,93.6,CANDIDATE,SYNTHETIC_DEMO
DM0003,P01591,P01375,0.917,1,1,0,0.983,91.7,CANDIDATE,SYNTHETIC_DEMO
DM0004,P00655,P02409,0.97,1,1,0,0.817,97.0,CANDIDATE,SYNTHETIC_DEMO
DM0005,P00826,P02137,0.902,1,1,0,0.966,90.2,CANDIDATE,SYNTHETIC_DEMO
DM0006,P02489,P01101,0.911,1,1,1,0.973,91.1,CANDIDATE,SYNTHETIC_DEMO
DM0007,P01050,P02989,0.973,1,1,0,0.971,97.3,CANDIDATE,SYNTHETIC_DEMO
DM0008,P01371,P02793,0.976,1,1,0,0.961,97.6,CANDIDATE,SYNTHETIC_DEMO
DM0009,P00802,P02900,0.938,1,1,0,0.777,93.8,CANDIDATE,SYNTHETIC_DEMO
DM0010,P01340,P02708,0.919,1,1,1,0.815,91.9,CANDIDATE,SYNTHETIC_DEMO
DM0011,P01067,P02488,0.945,1,1,0,0.926,94.5,CANDIDATE,SYNTHETIC_DEMO
DM0012,P01609,P00643,0.917,1,1,1,0.913,91.7,CANDIDATE,SYNTHETIC_DEMO
DM0013,P00489,P00138,0.903,1,1,1,0.949,90.3,CANDIDATE,SYNTHETIC_DEMO
DM0014,P02665,P01506,0.914,1,1,0,0.888,91.4,CANDIDATE,SYNTHETIC_DEMO
DM0015,P01169,P00178,0.953,1,1,1,0.92,95.3,CANDIDATE,SYNTHETIC_DEMO
DM0016,P01850,P02699,0.938,1,1,1,0.756,93.8,CANDIDATE,SYNTHETIC_DEMO
DM0017,P00119,P00979,0.977,1,1,0,0.806,97.7,CANDIDATE,SYNTHETIC_DEMO
DM0018,P01825,P01672,0.965,1,1,0,0.96,96.5,CANDIDATE,SYNTHETIC_DEMO
DM0019,P02472,P01566,0.945,1,1,1,0.94,94.5,CANDIDATE,SYNTHETIC_DEMO
DM0020,P02669,P02767,0.968,1,1,0,0.819,96.8,CANDIDATE,SYNTHETIC_DEMO
DM0021,P02752,P00280,0.948,1,1,1,0.947,94.8,CANDIDATE,SYNTHETIC_DEMO
DM0022,P02097,P01903,0.913,1,1,1,0.924,91.3,CANDIDATE,SYNTHETIC_DEMO
DM0023,P01662,P02074,0.912,1,1,1,0.848,91.2,CANDIDATE,SYNTHETIC_DEMO
DM0024,P00839,P01927,0.932,1,1,1,0.986,93.2,CANDIDATE,SYNTHETIC_DEMO
DM0025,P00758,P02763,0.923,1,1,1,0.912,92.3,CANDIDATE,SYNTHETIC_DEMO
DM0026,P00462,P01554,0.929,1,1,1,0.771,92.9,CANDIDATE,SYNTHETIC_DEMO
DM0027,P00171,P00727,0.971,1,1,1,0.972,97.1,CANDIDATE,SYNTHETIC_DEMO
DM0028,P01588,P02259,0.937,1,1,0,0.964,93.7,CANDIDATE,SYNTHETIC_DEMO
DM0029,P00438,P01221,0.941,1,1,0,0.894,94.1,CANDIDATE,SYNTHETIC_DEMO
DM0030,P00843,P01977,0.951,1,1,0,0.954,95.1,CANDIDATE,SYNTHETIC_DEMO
DM0031,P00820,P02061,0.911,1,1,0,0.948,91.1,CANDIDATE,SYNTHETIC_DEMO
DM0032,P02336,P01485,0.907,1,1,1,0.961,90.7,CANDIDATE,SYNTHETIC_DEMO
DM0033,P01224,P01898,0.944,1,1,0,0.888,94.4,CANDIDATE,SYNTHETIC_DEMO
DM0034,P02826,P00929,0.975,1,1,0,0.928,97.5,CANDIDATE,SYNTHETIC_DEMO
DM0035,P02762,P02420,0.957,1,1,1,0.867,95.7,CANDIDATE,SYNTHETIC_DEMO
DM0036,P00878,P01282,0.959,1,1,1,0.882,95.9,CANDIDATE,SYNTHETIC_DEMO
DM0037,P02430,P01464,0.942,1,1,1,0.803,94.2,CANDIDATE,SYNTHETIC_DEMO
DM0038,P01243,P01270,0.96,1,1,0,0.804,96.0,CANDIDATE,SYNTHETIC_DEMO
DM0039,P01479,P02113,0.936,1,1,0,0.922,93.6,CANDIDATE,SYNTHETIC_DEMO
DM0040,P01900,P02934,0.978,1,1,0,0.869,97.8,CANDIDATE,SYNTHETIC_DEMO
DM0041,P00223,P00314,0.956,1,1,1,0.808,95.6,CANDIDATE,SYNTHETIC_DEMO
DM0042,P02654,P01258,0.924,1,1,0,0.88,92.4,CANDIDATE,SYNTHETIC_DEMO
DM0043,P02565,P00330,0.976,1,1,0,0.756,97.6,CANDIDATE,SYNTHETIC_DEMO
DM0044,P00942,P00143,0.924,1,1,0,0.795,92.4,CANDIDATE,SYNTHETIC_DEMO
DM0045,P02322,P02544,0.954,1,1,0,0.811,95.4,CANDIDATE,SYNTHETIC_DEMO
DM0046,P01034,P00456,0.934,1,1,1,0.909,93.4,CANDIDATE,SYNTHETIC_DEMO
DM0047,P00889,P00030,0.956,1,1,1,0.832,95.6,CANDIDATE,SYNTHETIC_DEMO
DM0048,P02094,P01397,0.917,1,1,1,0.899,91.7,CANDIDATE,SYNTHETIC_DEMO
