mp_id,mp_name,state,constituency,current_projects,sanctioned_amount,funds_released,expenditure,unspent_balance,high_risk_projects,medium_risk_projects,delayed_projects,avg_risk_score,utilization_pct,data_type
MP001,Amit Sharma,Maharashtra,Pune East,50,46725000,35191000,19037000,16154000,0,6,34,22.398000000000003,54.1,SYNTHETIC_DEMO
MP002,Rahul Singh,Karnataka,Mysuru,50,59076000,44932000,24621000,20311000,1,12,39,30.62,54.8,SYNTHETIC_DEMO
MP003,Priya Joshi,Rajasthan,Udaipur,50,58054000,44301000,22815000,21486000,0,12,38,26.18,51.5,SYNTHETIC_DEMO
MP004,Anita Mehta,West Bengal,Kolkata North,50,62036000,48525000,23843000,24682000,0,16,36,30.01,49.1,SYNTHETIC_DEMO
MP005,Ravi Nair,Gujarat,Surat Rural,50,50635000,39477000,20798000,18679000,1,13,39,29.522,52.7,SYNTHETIC_DEMO
MP006,Neha Sharma,Uttar Pradesh,Prayagraj,50,58275000,43015000,20008000,23007000,0,10,41,27.146,46.5,SYNTHETIC_DEMO
MP007,Vikram Singh,Tamil Nadu,Coimbatore,50,45860000,35053000,18177000,16876000,0,17,41,31.752,51.9,SYNTHETIC_DEMO
MP008,Suresh Joshi,Odisha,Cuttack,50,54092000,40081000,20104000,19977000,0,13,34,26.052,50.2,SYNTHETIC_DEMO
MP009,Kavita Mehta,Bihar,Muzaffarpur,50,58345000,44304000,22650000,21654000,0,10,41,27.322,51.1,SYNTHETIC_DEMO
MP010,Arjun Nair,Telangana,Hyderabad Rural,50,52456000,40712000,18753000,21959000,0,9,37,24.11,46.1,SYNTHETIC_DEMO
MP011,Meena Sharma,Maharashtra,Nagpur Rural,50,59078000,45998000,20706000,25292000,0,8,36,24.828000000000003,45.0,SYNTHETIC_DEMO
MP012,Nitin Singh,Karnataka,Hubballi,50,66437000,52236000,25719000,26517000,0,13,38,30.01,49.2,SYNTHETIC_DEMO
