snapshot_id,project_id,snapshot_date,reported_progress_pct,cumulative_expenditure,status_snapshot,data_type
PS0000001,P00001,2025-01-01,54.4,136000,Stalled,SYNTHETIC_DEMO
PS0000002,P00001,2025-04-01,54.4,252000,Stalled,SYNTHETIC_DEMO
PS0000003,P00001,2025-07-01,54.4,152000,Stalled,SYNTHETIC_DEMO
PS0000004,P00001,2025-10-01,54.4,159000,Stalled,SYNTHETIC_DEMO
PS0000005,P00001,2026-01-01,54.4,247000,Stalled,SYNTHETIC_DEMO
PS0000006,P00001,2026-04-01,54.4,245000,Stalled,SYNTHETIC_DEMO
PS0000007,P00001,2026-07-01,54.4,240000,Stalled,SYNTHETIC_DEMO
PS0000008,P00002,2026-04-01,8.9,368000,Ongoing,SYNTHETIC_DEMO
PS0000009,P00002,2026-07-01,37.8,391000,Ongoing,SYNTHETIC_DEMO
PS0000010,P00003,2025-01-01,66.9,48000,Stalled,SYNTHETIC_DEMO
PS0000011,P00003,2025-04-01,66.9,52000,Stalled,SYNTHETIC_DEMO
PS0000012,P00003,2025-07-01,66.9,42000,Stalled,SYNTHETIC_DEMO
PS0000013,P00003,2025-10-01,66.9,66000,Stalled,SYNTHETIC_DEMO
PS0000014,P00003,2026-01-01,66.9,39000,Stalled,SYNTHETIC_DEMO
PS0000015,P00003,2026-04-01,66.9,34000,Stalled,SYNTHETIC_DEMO
PS0000016,P00003,2026-07-01,66.9,26000,Stalled,SYNTHETIC_DEMO
PS0000017,P00004,2025-07-01,18.8,136000,Stalled,SYNTHETIC_DEMO
PS0000018,P00004,2025-10-01,53.5,74000,Stalled,SYNTHETIC_DEMO
PS0000019,P00004,2026-01-01,72.6,97000,Stalled,SYNTHETIC_DEMO
PS0000020,P00004,2026-04-01,72.6,112000,Stalled,SYNTHETIC_DEMO
PS0000021,P00004,2026-07-01,72.6,79000,Stalled,SYNTHETIC_DEMO
PS0000022,P00005,2025-01-01,21.7,82000,Ongoing,SYNTHETIC_DEMO
PS0000023,P00005,2025-04-01,23.6,80000,Ongoing,SYNTHETIC_DEMO
PS0000024,P00005,2025-07-01,40.0,148000,Ongoing,SYNTHETIC_DEMO
PS0000025,P00005,2025-10-01,53.4,66000,Ongoing,SYNTHETIC_DEMO
PS0000026,P00005,2026-01-01,62.9,72000,Ongoing,SYNTHETIC_DEMO
PS0000027,P00005,2026-04-01,67.5,159000,Ongoing,SYNTHETIC_DEMO
PS0000028,P00005,2026-07-01,67.5,78000,Ongoing,SYNTHETIC_DEMO
PS0000029,P00006,2026-04-01,20.8,334000,Ongoing,SYNTHETIC_DEMO
PS0000030,P00006,2026-07-01,33.1,312000,Ongoing,SYNTHETIC_DEMO
PS0000031,P00007,2025-01-01,81.4,233000,Stalled,SYNTHETIC_DEMO
PS0000032,P00007,2025-04-01,81.4,605000,Stalled,SYNTHETIC_DEMO
PS0000033,P00007,2025-07-01,81.4,288000,Stalled,SYNTHETIC_DEMO
PS0000034,P00007,2025-10-01,81.4,622000,Stalled,SYNTHETIC_DEMO
PS0000035,P00007,2026-01-01,81.4,597000,Stalled,SYNTHETIC_DEMO
PS0000036,P00007,2026-04-01,81.4,571000,Stalled,SYNTHETIC_DEMO
PS0000037,P00007,2026-07-01,81.4,310000,Stalled,SYNTHETIC_DEMO
PS0000038,P00008,2025-01-01,39.7,81000,Stalled,SYNTHETIC_DEMO
PS0000039,P00008,2025-04-01,39.7,81000,Stalled,SYNTHETIC_DEMO
PS0000040,P00008,2025-07-01,39.7,51000,Stalled,SYNTHETIC_DEMO
PS0000041,P00008,2025-10-01,39.7,74000,Stalled,SYNTHETIC_DEMO
PS0000042,P00008,2026-01-01,39.7,94000,Stalled,SYNTHETIC_DEMO
PS0000043,P00008,2026-04-01,39.7,86000,Stalled,SYNTHETIC_DEMO
PS0000044,P00008,2026-07-01,39.7,107000,Stalled,SYNTHETIC_DEMO
PS0000045,P00009,2025-01-01,55.0,88000,Stalled,SYNTHETIC_DEMO
PS0000046,P00009,2025-04-01,55.0,85000,Stalled,SYNTHETIC_DEMO
PS0000047,P00009,2025-07-01,55.0,134000,Stalled,SYNTHETIC_DEMO
PS0000048,P00009,2025-10-01,55.0,179000,Stalled,SYNTHETIC_DEMO
PS0000049,P00009,2026-01-01,55.0,78000,Stalled,SYNTHETIC_DEMO
PS0000050,P00009,2026-04-01,55.0,135000,Stalled,SYNTHETIC_DEMO
PS0000051,P00009,2026-07-01,55.0,195000,Stalled,SYNTHETIC_DEMO
PS0000052,P00010,2025-01-01,20.0,244000,Stalled,SYNTHETIC_DEMO
PS0000053,P00010,2025-04-01,20.0,174000,Stalled,SYNTHETIC_DEMO
PS0000054,P00010,2025-07-01,20.0,286000,Stalled,SYNTHETIC_DEMO
PS0000055,P00010,2025-10-01,20.0,305000,Stalled,SYNTHETIC_DEMO
PS0000056,P00010,2026-01-01,20.0,199000,Stalled,SYNTHETIC_DEMO
PS0000057,P00010,2026-04-01,20.0,169000,Stalled,SYNTHETIC_DEMO
PS0000058,P00010,2026-07-01,20.0,177000,Stalled,SYNTHETIC_DEMO
PS0000059,P00011,2026-04-01,16.7,294000,Ongoing,SYNTHETIC_DEMO
PS0000060,P00011,2026-07-01,63.0,477000,Ongoing,SYNTHETIC_DEMO
PS0000061,P00012,2025-01-01,56.5,570000,Stalled,SYNTHETIC_DEMO
PS0000062,P00012,2025-04-01,56.5,533000,Stalled,SYNTHETIC_DEMO
PS0000063,P00012,2025-07-01,56.5,229000,Stalled,SYNTHETIC_DEMO
PS0000064,P00012,2025-10-01,56.5,489000,Stalled,SYNTHETIC_DEMO
PS0000065,P00012,2026-01-01,56.5,594000,Stalled,SYNTHETIC_DEMO
PS0000066,P00012,2026-04-01,56.5,376000,Stalled,SYNTHETIC_DEMO
PS0000067,P00012,2026-07-01,56.5,463000,Stalled,SYNTHETIC_DEMO
PS0000068,P00013,2025-01-01,40.0,193000,Stalled,SYNTHETIC_DEMO
PS0000069,P00013,2025-04-01,40.0,177000,Stalled,SYNTHETIC_DEMO
PS0000070,P00013,2025-07-01,40.0,91000,Stalled,SYNTHETIC_DEMO
PS0000071,P00013,2025-10-01,40.0,158000,Stalled,SYNTHETIC_DEMO
PS0000072,P00013,2026-01-01,40.0,182000,Stalled,SYNTHETIC_DEMO
PS0000073,P00013,2026-04-01,40.0,196000,Stalled,SYNTHETIC_DEMO
PS0000074,P00013,2026-07-01,40.0,162000,Stalled,SYNTHETIC_DEMO
PS0000075,P00014,2025-01-01,49.4,347000,Stalled,SYNTHETIC_DEMO
PS0000076,P00014,2025-04-01,49.4,187000,Stalled,SYNTHETIC_DEMO
PS0000077,P00014,2025-07-01,49.4,305000,Stalled,SYNTHETIC_DEMO
PS0000078,P00014,2025-10-01,49.4,222000,Stalled,SYNTHETIC_DEMO
PS0000079,P00014,2026-01-01,49.4,352000,Stalled,SYNTHETIC_DEMO
PS0000080,P00014,2026-04-01,49.4,261000,Stalled,SYNTHETIC_DEMO
PS0000081,P00014,2026-07-01,49.4,153000,Stalled,SYNTHETIC_DEMO
PS0000082,P00015,2025-10-01,25.6,269000,Delayed,SYNTHETIC_DEMO
PS0000083,P00015,2026-01-01,55.0,277000,Delayed,SYNTHETIC_DEMO
PS0000084,P00015,2026-04-01,77.2,636000,Delayed,SYNTHETIC_DEMO
PS0000085,P00015,2026-07-01,77.2,304000,Delayed,SYNTHETIC_DEMO
PS0000086,P00016,2025-01-01,10.6,72000,Delayed,SYNTHETIC_DEMO
PS0000087,P00016,2025-04-01,10.6,55000,Delayed,SYNTHETIC_DEMO
PS0000088,P00016,2025-07-01,10.6,57000,Delayed,SYNTHETIC_DEMO
PS0000089,P00016,2025-10-01,10.6,61000,Delayed,SYNTHETIC_DEMO
PS0000090,P00016,2026-01-01,10.6,82000,Delayed,SYNTHETIC_DEMO
PS0000091,P00016,2026-04-01,10.6,89000,Delayed,SYNTHETIC_DEMO
PS0000092,P00016,2026-07-01,10.6,51000,Delayed,SYNTHETIC_DEMO
PS0000093,P00017,2025-01-01,67.3,200000,Stalled,SYNTHETIC_DEMO
PS0000094,P00017,2025-04-01,67.3,161000,Stalled,SYNTHETIC_DEMO
PS0000095,P00017,2025-07-01,67.3,157000,Stalled,SYNTHETIC_DEMO
PS0000096,P00017,2025-10-01,67.3,276000,Stalled,SYNTHETIC_DEMO
PS0000097,P00017,2026-01-01,67.3,195000,Stalled,SYNTHETIC_DEMO
PS0000098,P00017,2026-04-01,67.3,172000,Stalled,SYNTHETIC_DEMO
PS0000099,P00017,2026-07-01,67.3,262000,Stalled,SYNTHETIC_DEMO
PS0000100,P00018,2025-01-01,47.3,62000,Stalled,SYNTHETIC_DEMO
PS0000101,P00018,2025-04-01,50.8,63000,Stalled,SYNTHETIC_DEMO
PS0000102,P00018,2025-07-01,50.8,74000,Stalled,SYNTHETIC_DEMO
PS0000103,P00018,2025-10-01,50.8,58000,Stalled,SYNTHETIC_DEMO
PS0000104,P00018,2026-01-01,50.8,61000,Stalled,SYNTHETIC_DEMO
PS0000105,P00018,2026-04-01,50.8,56000,Stalled,SYNTHETIC_DEMO
PS0000106,P00018,2026-07-01,50.8,51000,Stalled,SYNTHETIC_DEMO
PS0000107,P00019,2025-01-01,58.0,104000,Stalled,SYNTHETIC_DEMO
PS0000108,P00019,2025-04-01,58.0,170000,Stalled,SYNTHETIC_DEMO
PS0000109,P00019,2025-07-01,58.0,146000,Stalled,SYNTHETIC_DEMO
PS0000110,P00019,2025-10-01,58.0,175000,Stalled,SYNTHETIC_DEMO
PS0000111,P00019,2026-01-01,58.0,194000,Stalled,SYNTHETIC_DEMO
PS0000112,P00019,2026-04-01,58.0,131000,Stalled,SYNTHETIC_DEMO
PS0000113,P00019,2026-07-01,58.0,134000,Stalled,SYNTHETIC_DEMO
PS0000114,P00020,2025-01-01,45.4,196000,Stalled,SYNTHETIC_DEMO
PS0000115,P00020,2025-04-01,45.4,200000,Stalled,SYNTHETIC_DEMO
PS0000116,P00020,2025-07-01,45.4,254000,Stalled,SYNTHETIC_DEMO
PS0000117,P00020,2025-10-01,45.4,206000,Stalled,SYNTHETIC_DEMO
PS0000118,P00020,2026-01-01,45.4,349000,Stalled,SYNTHETIC_DEMO
PS0000119,P00020,2026-04-01,45.4,350000,Stalled,SYNTHETIC_DEMO
PS0000120,P00020,2026-07-01,45.4,267000,Stalled,SYNTHETIC_DEMO
PS0000121,P00021,2025-10-01,29.2,151000,Ongoing,SYNTHETIC_DEMO
PS0000122,P00021,2026-01-01,37.9,144000,Ongoing,SYNTHETIC_DEMO
PS0000123,P00021,2026-04-01,42.1,232000,Ongoing,SYNTHETIC_DEMO
PS0000124,P00021,2026-07-01,42.1,180000,Ongoing,SYNTHETIC_DEMO
PS0000125,P00022,2025-04-01,26.6,174000,Stalled,SYNTHETIC_DEMO
PS0000126,P00022,2025-07-01,56.7,147000,Stalled,SYNTHETIC_DEMO
PS0000127,P00022,2025-10-01,73.1,176000,Stalled,SYNTHETIC_DEMO
PS0000128,P00022,2026-01-01,73.1,220000,Stalled,SYNTHETIC_DEMO
PS0000129,P00022,2026-04-01,73.1,240000,Stalled,SYNTHETIC_DEMO
PS0000130,P00022,2026-07-01,73.1,262000,Stalled,SYNTHETIC_DEMO
PS0000131,P00023,2025-01-01,46.6,327000,Stalled,SYNTHETIC_DEMO
PS0000132,P00023,2025-04-01,46.6,632000,Stalled,SYNTHETIC_DEMO
PS0000133,P00023,2025-07-01,46.6,403000,Stalled,SYNTHETIC_DEMO
PS0000134,P00023,2025-10-01,46.6,592000,Stalled,SYNTHETIC_DEMO
PS0000135,P00023,2026-01-01,46.6,435000,Stalled,SYNTHETIC_DEMO
PS0000136,P00023,2026-04-01,46.6,522000,Stalled,SYNTHETIC_DEMO
PS0000137,P00023,2026-07-01,46.6,415000,Stalled,SYNTHETIC_DEMO
PS0000138,P00024,2025-01-01,56.7,368000,Stalled,SYNTHETIC_DEMO
PS0000139,P00024,2025-04-01,67.6,309000,Stalled,SYNTHETIC_DEMO
PS0000140,P00024,2025-07-01,87.4,196000,Stalled,SYNTHETIC_DEMO
PS0000141,P00024,2025-10-01,87.4,348000,Stalled,SYNTHETIC_DEMO
PS0000142,P00024,2026-01-01,87.4,390000,Stalled,SYNTHETIC_DEMO
PS0000143,P00024,2026-04-01,87.4,324000,Stalled,SYNTHETIC_DEMO
PS0000144,P00024,2026-07-01,87.4,205000,Stalled,SYNTHETIC_DEMO
PS0000145,P00025,2025-07-01,37.8,254000,Stalled,SYNTHETIC_DEMO
PS0000146,P00025,2025-10-01,61.7,262000,Stalled,SYNTHETIC_DEMO
PS0000147,P00025,2026-01-01,61.7,138000,Stalled,SYNTHETIC_DEMO
PS0000148,P00025,2026-04-01,61.7,227000,Stalled,SYNTHETIC_DEMO
PS0000149,P00025,2026-07-01,61.7,198000,Stalled,SYNTHETIC_DEMO
PS0000150,P00026,2026-01-01,21.9,124000,Ongoing,SYNTHETIC_DEMO
PS0000151,P00026,2026-04-01,38.1,162000,Ongoing,SYNTHETIC_DEMO
PS0000152,P00026,2026-07-01,59.0,128000,Ongoing,SYNTHETIC_DEMO
PS0000153,P00027,2025-01-01,69.8,498000,Stalled,SYNTHETIC_DEMO
PS0000154,P00027,2025-04-01,69.8,485000,Stalled,SYNTHETIC_DEMO
PS0000155,P00027,2025-07-01,69.8,308000,Stalled,SYNTHETIC_DEMO
PS0000156,P00027,2025-10-01,69.8,516000,Stalled,SYNTHETIC_DEMO
PS0000157,P00027,2026-01-01,69.8,356000,Stalled,SYNTHETIC_DEMO
PS0000158,P00027,2026-04-01,69.8,678000,Stalled,SYNTHETIC_DEMO
PS0000159,P00027,2026-07-01,69.8,609000,Stalled,SYNTHETIC_DEMO
PS0000160,P00028,2025-04-01,32.4,131000,Stalled,SYNTHETIC_DEMO
PS0000161,P00028,2025-07-01,37.3,46000,Stalled,SYNTHETIC_DEMO
PS0000162,P00028,2025-10-01,37.3,62000,Stalled,SYNTHETIC_DEMO
PS0000163,P00028,2026-01-01,37.3,126000,Stalled,SYNTHETIC_DEMO
PS0000164,P00028,2026-04-01,37.3,126000,Stalled,SYNTHETIC_DEMO
PS0000165,P00028,2026-07-01,37.3,85000,Stalled,SYNTHETIC_DEMO
PS0000166,P00029,2025-01-01,70.0,347000,Stalled,SYNTHETIC_DEMO
PS0000167,P00029,2025-04-01,70.0,255000,Stalled,SYNTHETIC_DEMO
PS0000168,P00029,2025-07-01,70.0,185000,Stalled,SYNTHETIC_DEMO
PS0000169,P00029,2025-10-01,70.0,251000,Stalled,SYNTHETIC_DEMO
PS0000170,P00029,2026-01-01,70.0,167000,Stalled,SYNTHETIC_DEMO
PS0000171,P00029,2026-04-01,70.0,134000,Stalled,SYNTHETIC_DEMO
PS0000172,P00029,2026-07-01,70.0,219000,Stalled,SYNTHETIC_DEMO
PS0000173,P00030,2025-10-01,12.5,607000,Ongoing,SYNTHETIC_DEMO
PS0000174,P00030,2026-01-01,38.8,452000,Ongoing,SYNTHETIC_DEMO
PS0000175,P00030,2026-04-01,61.4,405000,Ongoing,SYNTHETIC_DEMO
PS0000176,P00030,2026-07-01,74.5,369000,Ongoing,SYNTHETIC_DEMO
PS0000177,P00031,2025-01-01,49.3,133000,Stalled,SYNTHETIC_DEMO
PS0000178,P00031,2025-04-01,49.3,145000,Stalled,SYNTHETIC_DEMO
PS0000179,P00031,2025-07-01,49.3,182000,Stalled,SYNTHETIC_DEMO
