risk_event_id,project_id,mp_id,mp_name,detected_on,risk_score,risk_level,risk_reason,review_status,data_type
RE00000001,P00001,MP008,Suresh Joshi,2026-06-30,19.7,LOW,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00000002,P00001,MP008,Suresh Joshi,2025-10-18,17.6,LOW,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00000003,P00001,MP008,Suresh Joshi,2025-04-12,17.4,LOW,Delay risk increased,Under Review,SYNTHETIC_DEMO
RE00000004,P00001,MP008,Suresh Joshi,2026-03-19,31.5,LOW,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00000005,P00001,MP008,Suresh Joshi,2025-05-19,31.9,LOW,Potential duplicate detected,Unreviewed,SYNTHETIC_DEMO
RE00000006,P00001,MP008,Suresh Joshi,2025-11-03,43.8,MEDIUM,Routine monitoring review,Unreviewed,SYNTHETIC_DEMO
RE00000007,P00001,MP008,Suresh Joshi,2025-10-29,26.0,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00000008,P00002,MP015,Deepak Nair,2025-10-27,56.4,MEDIUM,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00000009,P00002,MP015,Deepak Nair,2026-02-27,49.7,MEDIUM,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00000010,P00002,MP015,Deepak Nair,2025-09-21,60.0,MEDIUM,Potential duplicate detected,Unreviewed,SYNTHETIC_DEMO
RE00000011,P00002,MP015,Deepak Nair,2025-06-20,56.2,MEDIUM,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00000012,P00002,MP015,Deepak Nair,2026-02-21,60.0,MEDIUM,Potential duplicate detected,Reviewed,SYNTHETIC_DEMO
RE00000013,P00002,MP015,Deepak Nair,2025-12-02,71.6,HIGH,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00000014,P00003,MP022,Vikram Singh,2026-05-01,10.6,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00000015,P00003,MP022,Vikram Singh,2025-10-07,28.5,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00000016,P00003,MP022,Vikram Singh,2026-02-02,30.2,LOW,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00000017,P00003,MP022,Vikram Singh,2025-11-10,29.9,LOW,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00000018,P00003,MP022,Vikram Singh,2025-08-11,34.5,LOW,Potential duplicate detected,Reviewed,SYNTHETIC_DEMO
RE00000019,P00003,MP022,Vikram Singh,2025-12-09,30.4,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00000020,P00003,MP022,Vikram Singh,2025-12-05,47.1,MEDIUM,Delay risk increased,Under Review,SYNTHETIC_DEMO
RE00000021,P00004,MP029,Manoj Mehta,2025-05-28,5.0,LOW,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00000022,P00004,MP029,Manoj Mehta,2025-06-06,21.5,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000023,P00004,MP029,Manoj Mehta,2025-01-12,5.0,LOW,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00000024,P00004,MP029,Manoj Mehta,2025-10-02,5.0,LOW,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00000025,P00004,MP029,Manoj Mehta,2026-02-04,5.0,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000026,P00004,MP029,Manoj Mehta,2025-03-07,10.7,LOW,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00000027,P00004,MP029,Manoj Mehta,2026-07-05,6.8,LOW,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00000028,P00004,MP029,Manoj Mehta,2025-05-30,24.4,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000029,P00005,MP036,Neha Sharma,2025-05-20,5.0,LOW,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00000030,P00005,MP036,Neha Sharma,2025-05-21,5.0,LOW,Routine monitoring review,Unreviewed,SYNTHETIC_DEMO
RE00000031,P00005,MP036,Neha Sharma,2026-04-24,5.0,LOW,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00000032,P00005,MP036,Neha Sharma,2026-07-26,5.0,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00000033,P00005,MP036,Neha Sharma,2025-03-07,7.6,LOW,Delay risk increased,Under Review,SYNTHETIC_DEMO
RE00000034,P00005,MP036,Neha Sharma,2025-11-05,5.0,LOW,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00000035,P00005,MP036,Neha Sharma,2026-05-23,5.0,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00000036,P00005,MP036,Neha Sharma,2025-12-04,5.0,LOW,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00000037,P00006,MP043,Pooja Joshi,2026-04-06,5.0,LOW,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
